SHRP_ID,STATE_CODE,YEAR,HPMS16_CRACKING_PERCENT_JPCC,MEAN_ANN_TEMP_AVG,FREEZE_INDEX_YR,FREEZE_THAW_YR,MAX_ANN_HUM_AVG,MIN_ANN_HUM_AVG,CONSTRUCTION_NO,AADTT_ALL_TRUCKS_TREND,ANNUAL_TRUCK_VOLUME_TREND,REPR_THICKNESS
84,12,1997.0,0.0,22.20000076,0.0,2.0,97.0,56.0,1,125.0,45625.0,7.0
84,12,2000.0,0.0,21.89999962,0.0,2.0,95.0,51.0,1,141.0,51606.0,7.0
84,12,2003.0,0.0,22.10000038,0.0,2.0,96.0,56.0,1,175.0,63875.0,7.0
84,12,2006.0,0.0,22.29999924,0.0,1.0,89.0,46.0,1,189.0,68985.0,7.0
84,12,1993.0,0.0,21.5,0.0,2.0,96.0,54.0,1,89.0,32485.0,7.0
157,5,2008.0,0.0,16.39999962,18.0,65.0,90.0,47.0,1,1238.0,453108.0,9.800000191
157,5,2001.0,0.0,16.89999962,26.0,47.0,92.0,49.0,1,2563.0,935495.0,9.800000191
157,5,2004.0,0.0,17.10000038,26.0,47.0,92.0,51.0,1,742.0,271572.0,9.800000191
157,5,2005.0,0.0,17.5,10.0,42.0,86.0,43.0,1,1210.0,441650.0,9.800000191
157,5,2007.0,0.0,17.5,12.0,52.0,85.0,45.0,1,1252.0,456980.0,9.800000191
157,5,2002.0,0.0,16.70000076,16.0,63.0,92.0,51.0,1,1129.0,412085.0,9.800000191
157,5,2003.0,0.0,16.60000038,27.0,60.0,93.0,52.0,1,1308.0,477420.0,9.800000191
157,5,2000.0,0.0,16.79999924,62.0,55.0,91.0,49.0,1,1169.0,427854.0,9.800000191
157,5,2006.0,0.0,17.5,16.0,43.0,86.0,42.0,1,1275.0,465375.0,9.800000191
157,5,1996.0,0.0,16.29999924,74.0,48.0,87.0,46.0,1,1035.0,378810.0,9.800000191
157,5,2008.0,0.0,16.39999962,18.0,65.0,90.0,47.0,2,1238.0,453108.0,9.800000191
157,5,2001.0,0.0,16.89999962,26.0,47.0,92.0,49.0,2,2563.0,935495.0,9.800000191
157,5,2004.0,0.0,17.10000038,26.0,47.0,92.0,51.0,2,742.0,271572.0,9.800000191
157,5,2005.0,0.0,17.5,10.0,42.0,86.0,43.0,2,1210.0,441650.0,9.800000191
157,5,2007.0,0.0,17.5,12.0,52.0,85.0,45.0,2,1252.0,456980.0,9.800000191
157,5,2002.0,0.0,16.70000076,16.0,63.0,92.0,51.0,2,1129.0,412085.0,9.800000191
157,5,2003.0,0.0,16.60000038,27.0,60.0,93.0,52.0,2,1308.0,477420.0,9.800000191
157,5,2000.0,0.0,16.79999924,62.0,55.0,91.0,49.0,2,1169.0,427854.0,9.800000191
157,5,2006.0,0.0,17.5,16.0,43.0,86.0,42.0,2,1275.0,465375.0,9.800000191
157,5,1996.0,0.0,16.29999924,74.0,48.0,87.0,46.0,2,1035.0,96255.0,9.800000191
157,5,2008.0,0.0,16.39999962,18.0,65.0,90.0,47.0,3,1238.0,453108.0,9.800000191
157,5,2001.0,0.0,16.89999962,26.0,47.0,92.0,49.0,3,2563.0,935495.0,9.800000191
157,5,2004.0,0.0,17.10000038,26.0,47.0,92.0,51.0,3,742.0,271572.0,9.800000191
157,5,2005.0,0.0,17.5,10.0,42.0,86.0,43.0,3,1210.0,441650.0,9.800000191
157,5,2007.0,0.0,17.5,12.0,52.0,85.0,45.0,3,1252.0,456980.0,9.800000191
