STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC
4,Arizona,0214,11/03/1997,0,0
4,Arizona,7614,11/19/1997,0,0
4,Arizona,0213,11/04/1997,0,0
4,Arizona,0215,11/04/1997,0,0
4,Arizona,0217,11/04/1997,3,15
4,Arizona,0219,11/04/1997,0,0
4,Arizona,0221,11/04/1997,0,0
4,Arizona,0223,11/04/1997,0,0
4,Arizona,0262,11/05/1997,0,0
4,Arizona,0263,11/05/1997,0,0
4,Arizona,0264,11/05/1997,0,0
4,Arizona,0265,11/05/1997,0,0
4,Arizona,0266,11/05/1997,0,0
4,Arizona,0267,11/05/1997,0,0
6,California,3042,12/18/1991,3,3
6,California,7456,12/17/1991,0,0
8,Colorado,3032,02/10/1992,3,3
16,Idaho,3017,01/24/1992,0,0
9,Connecticut,4008,06/20/1995,23,
84,New Brunswick,3803,08/03/1995,0,6
23,Maine,3013,08/17/1995,0,0
23,Maine,3014,08/17/1995,0,0
42,Pennsylvania,1627,08/31/1995,0,
42,Pennsylvania,1690,08/29/1995,40,
89,Quebec,3002,05/13/1998,0,6
89,Quebec,9018,05/14/1998,0,0
89,Quebec,3015,09/02/1998,0,0
42,Pennsylvania,1690,09/09/1998,30,
42,Pennsylvania,A410,09/09/1998,45,
42,Pennsylvania,A411,09/10/1998,27,
42,Pennsylvania,A430,09/10/1998,0,
34,New Jersey,4042,08/12/1998,0,
42,Pennsylvania,3044,08/11/1998,0,20
42,Pennsylvania,9027,08/11/1998,0,
37,North Carolina,0201,07/16/1998,0,0
37,North Carolina,0209,07/16/1998,0,0
42,Pennsylvania,C410,09/16/1998,10,
42,Pennsylvania,C411,09/16/1998,0,
42,Pennsylvania,C430,09/16/1998,18,
42,Pennsylvania,1606,09/17/1998,9,
37,North Carolina,0201,09/24/1998,0,0
23,Maine,3013,09/22/1998,0,0
23,Maine,3014,09/23/1998,0,0
42,Pennsylvania,1623,07/30/1998,4,4
10,Delaware,0201,11/10/1998,0,0
10,Delaware,0209,11/10/1998,0,0
37,North Carolina,0201,12/15/1998,0,0
37,North Carolina,0209,12/16/1998,0,0
37,North Carolina,3008,04/06/1999,0,0
36,New York,4017,04/29/1999,100,
10,Delaware,0209,06/16/1999,0,0
10,Delaware,0204,06/10/1999,0,0
