STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CONSTRUCTION_NO,GATOR_CRACK_A_L,GATOR_CRACK_A_M,GATOR_CRACK_A_H,BLK_CRACK_A_L,BLK_CRACK_A_M,BLK_CRACK_A_H,EDGE_CRACK_L_L,EDGE_CRACK_L_M,EDGE_CRACK_L_H,LONG_CRACK_WP_L_L,LONG_CRACK_WP_L_M,LONG_CRACK_WP_L_H,LONG_CRACK_WP_SEAL_L_L,LONG_CRACK_WP_SEAL_L_M,LONG_CRACK_WP_SEAL_L_H,LONG_CRACK_NWP_L_L,LONG_CRACK_NWP_L_M,LONG_CRACK_NWP_L_H,LONG_CRACK_NWP_SEAL_L_L,LONG_CRACK_NWP_SEAL_L_M,LONG_CRACK_NWP_SEAL_L_H,TRANS_CRACK_NO_L,TRANS_CRACK_NO_M,TRANS_CRACK_NO_H,TRANS_CRACK_L_L,TRANS_CRACK_L_M,TRANS_CRACK_L_H,TRANS_CRACK_SEAL_L_L,TRANS_CRACK_SEAL_L_M,TRANS_CRACK_SEAL_L_H,PATCH_NO_L,PATCH_NO_M,PATCH_NO_H,PATCH_A_L,PATCH_A_M,PATCH_A_H,POTHOLES_NO_L,POTHOLES_NO_M,POTHOLES_NO_H,POTHOLES_A_L,POTHOLES_A_M,POTHOLES_A_H,SHOVING_NO,SHOVING_A,BLEEDING,POLISH_AGG_A,RAVELING,PUMPING_NO,PUMPING_L,OTHER,SURVEY_WIDTH,WP_LENGTH_CRACKED,TRANS_CRACK_L_GT183
29,Missouri,A320,04/27/2005,3,14.39999962,157.1000061,0,0,0,0,0,0,0,0,0,0,0,0,0,128.6999969,163.5,0,0,0,0,120,6,0,89.09999847,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,3.700000048,257.5,14.30000019
29,Missouri,1005,04/26/2005,1,203.6000061,14.39999962,0,0,0,0,0,0,0,0,0,0,0,0,0,94.19999695,210.8000031,0,0,0,0,200,0,0,133.1999969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.599999905,0,0,0,0,,3.700000048,272.3999939,2
29,Missouri,7054,04/29/2005,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.7999878,0,0,0,0,0,11,0,0,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,3.700000048,0,18.20000076
26,Michigan,D320,08/31/1992,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.19999695,168.1000061,0,0,0,0,1,7,1,1.799999952,25.89999962,3.700000048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,<10%SLURRY LOSS-ABRADED AT CL AND ML.V.GOOD CONDITION,3.700000048,0,31.39999962
26,Michigan,D330,08/31/1992,2,0,0,0,0,0,0,0,0,0,4.599999905,0,0,4.599999905,0,0,188.6000061,53.90000153,0,102.5,10.30000019,0,10,3,0,25.60000038,11.10000038,0,16.89999962,11.10000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEALANT IN GOOD CONDITION.,3.700000048,4.599999905,34.90000153
26,Michigan,D340,08/31/1992,1,0,0,0,0,0,0,0,0,0,4.599999905,9.699999809,0,0,0,0,31.29999924,165.6999969,0,0,0,0,8,9,0,18.39999962,33.09999847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.700000048,14.30000019,49.40000153
29,Missouri,0502,11/19/2004,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.700000048,0,0
29,Missouri,0660,11/09/2004,2,0,0,0,56.40000153,507.7999878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564.2000122,0,0,,3.799999952,0,0
29,Missouri,0608,11/09/2004,4,0,0,0,0,507.7999878,56.40000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.700000048,0,0
29,Missouri,0661,11/10/2004,2,0,0,0,282.1000061,282.1000061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564.2000122,0,0,,3.700000048,0,0
