STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_CRACKING_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC
40,Oklahoma,0501,07/22/1997,0,0,603,0
40,Oklahoma,0502,07/22/1997,0,0,0,0
40,Oklahoma,0503,07/22/1997,0,0,0,0
40,Oklahoma,0504,07/23/1997,0,0,0,0
40,Oklahoma,0505,07/23/1997,0,0,0,0
40,Oklahoma,0506,07/23/1997,0,0,0,0
40,Oklahoma,0507,07/23/1997,0,0,0,0
40,Oklahoma,0508,07/22/1997,0,0,0,0
40,Oklahoma,0509,07/23/1997,0,0,0,0
48,Texas,M310,03/28/1997,36,32,142,163
48,Texas,M320,03/28/1997,30,27,218,0
48,Texas,M330,03/28/1997,38,35,388,0
48,Texas,M340,03/28/1997,34,31,73,42
48,Texas,M350,03/28/1997,39,21,97,0
12,Florida,4135,04/16/1997,0,0,0,0
1,Alabama,0661,06/28/1998,0,0,0,0
1,Alabama,0662,06/29/1998,0,0,0,0
1,Alabama,0663,06/29/1998,0,0,0,0
28,Mississippi,1802,11/13/1998,32,4,2955,357
45,South Carolina,1024,02/09/1999,1,0,24,0
13,Georgia,1031,11/20/1998,0,0,0,0
13,Georgia,1005,11/18/1998,12,3,641,111
1,Alabama,0102,11/21/1998,37,19,0,35
1,Alabama,0101,11/17/1998,5,1,10,7
72,Puerto Rico,1003,06/02/1997,35,60,294,0
72,Puerto Rico,4122,06/03/1997,0,0,0,0
48,Texas,3855,11/23/1998,22,14,246,0
48,Texas,3835,02/19/1999,19,2,2515,2446
48,Texas,I310,02/18/1999,0,0,0,0
48,Texas,I320,02/18/1999,0,0,0,0
48,Texas,I330,02/18/1999,0,0,0,0
48,Texas,I340,02/18/1999,0,0,0,0
48,Texas,I350,02/18/1999,0,0,0,0
40,Oklahoma,0608,11/18/1998,42,0,1663,16235
40,Oklahoma,0603,11/17/1998,6,0,1251,2515
40,Oklahoma,0604,11/17/1998,3,0,2051,1123
40,Oklahoma,0606,11/18/1998,1,0,2917,0
47,Tennessee,6015,07/07/1998,2,1,0,90
40,Oklahoma,4163,01/11/1999,3,0,589,159
35,New Mexico,0501,01/06/1999,0,0,0,0
35,New Mexico,0502,01/06/1999,0,0,125,0
35,New Mexico,0503,01/06/1999,0,0,0,0
35,New Mexico,0504,01/06/1999,0,0,0,0
35,New Mexico,0505,01/06/1999,0,0,0,0
35,New Mexico,0506,01/06/1999,0,0,0,0
35,New Mexico,0507,01/06/1999,0,0,0,0
35,New Mexico,0508,01/06/1999,0,0,0,0
35,New Mexico,0509,01/06/1999,0,0,0,0
35,New Mexico,0801,01/06/1999,0,0,0,0
35,New Mexico,0802,01/06/1999,0,0,0,0
35,New Mexico,0901,01/05/1999,0,0,0,0
35,New Mexico,0902,01/05/1999,0,0,0,0
35,New Mexico,0903,01/05/1999,0,0,0,0
35,New Mexico,0959,01/05/1999,0,0,0,0
5,Arkansas,3048,09/11/1991,14,6,738,1098
40,Oklahoma,0607,11/17/1998,34,5,5391,9004
13,Georgia,7028,03/26/1999,0,0,0,0
35,New Mexico,0101,03/19/1999,0,0,0,0
35,New Mexico,0102,03/19/1999,0,0,0,0
35,New Mexico,0103,03/19/1999,0,0,0,0
35,New Mexico,0104,03/19/1999,0,0,0,0
35,New Mexico,0509,04/08/2005,3,0,208,97
35,New Mexico,0101,04/11/2005,11,0,28,1784
35,New Mexico,0102,04/11/2005,23,1,35,2540
35,New Mexico,0103,04/11/2005,5,0,0,925
35,New Mexico,0104,04/11/2005,1,0,0,163
35,New Mexico,0105,04/11/2005,12,0,0,2269
35,New Mexico,0105,03/22/1999,0,0,0,0
35,New Mexico,0106,03/22/1999,0,0,0,0
35,New Mexico,0107,03/22/1999,0,0,0,0
35,New Mexico,0108,03/22/1999,0,0,0,0
35,New Mexico,0109,03/22/1999,0,0,0,0
35,New Mexico,0110,03/22/1999,0,0,0,0
35,New Mexico,0111,03/22/1999,0,0,0,0
35,New Mexico,0112,03/22/1999,0,0,0,0
35,New Mexico,2118,03/16/1999,1,0,2283,69
35,New Mexico,2007,03/17/1999,6,1,426,696
45,South Carolina,1011,02/11/1999,48,36,0,0
35,New Mexico,1003,03/15/1999,2,0,1957,364
13,Georgia,1005,03/16/1999,10,3,489,149
12,Florida,3997,03/01/1999,0,0,0,0
45,South Carolina,1025,02/08/1999,46,26,367,0
13,Georgia,4096,03/02/1999,1,0,208,62
48,Texas,A502,04/04/2002,1,0,2692,319
13,Georgia,4420,03/18/1999,6,2,637,156
13,Georgia,4093,03/02/1999,1,0,1375,104
13,Georgia,4092,03/02/1999,1,0,2249,87
35,New Mexico,6401,01/28/1999,25,7,2456,1739
48,Texas,1047,12/17/1998,3,0,3569,430
13,Georgia,4113,03/01/1999,0,0,0,0
13,Georgia,4112,03/01/1999,0,0,0,0
48,Texas,1060,01/05/1999,2,0,0,353
35,New Mexico,1005,03/16/1999,0,0,0,0
35,New Mexico,1112,03/15/1999,0,0,35,0
35,New Mexico,1002,03/15/1999,1,0,236,0
13,Georgia,0566,03/22/1999,0,0,0,0
13,Georgia,0565,03/22/1999,0,0,0,0
13,Georgia,0564,03/22/1999,0,0,0,0
13,Georgia,0563,03/22/1999,0,0,0,0
13,Georgia,0562,03/22/1999,0,0,0,0
13,Georgia,0561,03/22/1999,0,0,0,0
13,Georgia,0560,03/22/1999,0,0,0,0
13,Georgia,0509,03/23/1999,0,0,0,0
13,Georgia,0508,03/23/1999,0,0,0,0
5,Arkansas,2042,06/10/1997,0,0,0,0
5,Arkansas,3058,06/11/1997,3,0,485,565
12,Florida,1060,01/15/1997,0,0,0,0
13,Georgia,7028,05/15/1997,0,0,2356,0
40,Oklahoma,4087,06/18/1997,16,5,0,107
40,Oklahoma,4165,11/08/1996,3,0,502,662
45,South Carolina,1025,03/20/1997,45,18,232,0
47,Tennessee,3110,07/28/1997,1,0,0,253
12,Florida,0564,01/23/1997,0,0,0,0
47,Tennessee,B310,03/24/1997,2,0,7,159
47,Tennessee,B320,03/24/1997,1,0,0,17
47,Tennessee,B330,03/24/1997,1,0,0,121
47,Tennessee,B350,03/24/1997,0,0,0,0
1,Alabama,4125,06/21/1991,21,5,,
1,Alabama,4125,12/11/1990,30,0,0,
1,Alabama,4129,09/19/1991,2,2,31,0
1,Alabama,1001,09/20/1991,1,0,0,0
5,Arkansas,3071,09/09/1991,0,0,0,0
12,Florida,4105,10/04/1991,0,0,0,0
1,Alabama,1019,06/19/1991,45,14,10,
48,Texas,E310,04/11/1994,0,0,2332,0
48,Texas,E320,04/11/1994,5,0,2266,748
72,Puerto Rico,1003,03/08/1994,54,76,0,0
48,Texas,3579,12/21/1992,0,0,2217,0
48,Texas,1183,04/11/1994,2,1,1563,35
48,Texas,Q330,05/30/1991,2,0,0,464
48,Texas,Q340,05/30/1991,0,0,94,0
48,Texas,Q350,05/30/1991,0,0,0,0
48,Texas,Q320,05/30/1991,0,0,0,0
48,Texas,N340,08/30/1991,0,0,0,0
48,Texas,N350,08/30/1991,0,0,0,0
48,Texas,Q310,05/30/1991,0,0,0,0
48,Texas,N330,08/30/1991,2,1,0,0
48,Texas,N350,03/18/1992,0,0,0,0
48,Texas,N310,08/30/1991,0,0,0,0
48,Texas,N320,08/30/1991,0,0,0,0
48,Texas,N340,03/18/1992,4,1,0,
48,Texas,N310,03/18/1992,0,0,0,0
48,Texas,N320,03/18/1992,0,0,,0
48,Texas,N330,03/18/1992,4,2,0,
48,Texas,N350,04/09/1991,0,0,0,0
48,Texas,N320,04/09/1991,0,0,0,0
48,Texas,N330,04/09/1991,0,0,0,0
48,Texas,N340,04/09/1991,0,0,0,0
48,Texas,N310,04/09/1991,0,0,0,0
