STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CRACK_OR_JOINT,CRACK_OR_JOINT_EXP,CONSTRUCTION_NO,AVG_EDGE_FAULT,AVG_WHEELPATH_FAULT
1,Alabama,0605,02/05/1998,C,Crack,1,6.5,7
1,Alabama,0607,02/05/1998,J,Joint,1,2.599999905,3
1,Alabama,0662,02/05/1998,C,Crack,1,0,-1
1,Alabama,4084,09/19/1991,J,Joint,1,4.199999809,
48,Texas,A807,12/14/2001,J,Joint,1,0.200000003,0
72,Puerto Rico,4121,08/11/2000,J,Joint,3,6.099999905,5.699999809
40,Oklahoma,0608,07/26/1992,J,Joint,1,1.399999976,2
48,Texas,4142,04/11/1995,J,Joint,1,0.200000003,0.600000024
40,Oklahoma,4157,09/12/2000,J,Joint,1,1.899999976,1.700000048
5,Arkansas,3059,09/12/2000,J,Joint,1,0.699999988,0.699999988
48,Texas,A807,04/19/2000,J,Joint,1,0.200000003,0.100000001
5,Arkansas,3073,03/01/2001,J,Joint,3,2,1.799999952
5,Arkansas,0222,06/29/2000,J,Joint,2,0.400000006,0.400000006
48,Texas,B430,08/29/2000,J,Joint,1,1.600000024,0.800000012
40,Oklahoma,0601,09/17/2001,C,Crack,4,0,0.300000012
48,Texas,A808,12/14/2001,J,Joint,1,0.300000012,0
5,Arkansas,0222,07/24/2001,J,Joint,2,0.200000003,0
13,Georgia,3020,04/08/1991,J,Joint,1,0.300000012,
5,Arkansas,A601,04/24/2002,J,Joint,5,,
5,Arkansas,0223,08/27/2002,J,Joint,2,0.600000024,0.5
1,Alabama,0601,10/07/2002,C,Crack,2,4,3
1,Alabama,0605,10/08/2002,J,Joint,2,1.799999952,1.700000048
5,Arkansas,0214,08/27/2002,J,Joint,2,0.899999976,0.899999976
40,Oklahoma,0601,07/16/2002,C,Crack,4,0,0
48,Texas,A808,07/21/2003,J,Joint,1,,-0.899999976
47,Tennessee,0602,09/15/2003,J,Joint,4,2.200000048,1.799999952
12,Florida,4138,09/07/2006,J,Joint,5,,
5,Arkansas,0222,05/22/2007,J,Joint,2,0.600000024,0.600000024
5,Arkansas,0213,10/09/2003,J,Joint,3,0.5,1.100000024
5,Arkansas,0224,08/29/2002,J,Joint,4,0.800000012,1.100000024
40,Oklahoma,0603,10/11/1991,J,Joint,1,,
40,Oklahoma,0604,10/11/1991,J,Joint,1,,
40,Oklahoma,0606,10/11/1991,J,Joint,1,2.099999905,
48,Texas,A807,11/13/2002,J,Joint,1,0.100000001,0
12,Florida,4057,01/07/2003,J,Joint,1,0.200000003,0.200000003
12,Florida,4138,01/09/2003,J,Joint,4,4,5.400000095
12,Florida,4059,01/25/2005,J,Joint,1,0.800000012,0.899999976
45,South Carolina,3012,04/21/2004,J,Joint,1,0.600000024,0.300000012
40,Oklahoma,4157,08/21/2003,J,Joint,1,1.899999976,1.399999976
40,Oklahoma,0602,08/18/2003,J,Joint,6,5.599999905,5.5
40,Oklahoma,0602,03/23/2010,C,Crack,7,0,0
13,Georgia,3020,12/03/2007,J,Joint,2,0.699999988,0.300000012
12,Florida,4138,12/10/2008,C,Crack,5,1.200000048,
47,Tennessee,0601,02/23/2004,J,Joint,4,,2.299999952
47,Tennessee,0601,02/23/2004,C,Crack,4,,0.200000003
47,Tennessee,0602,04/03/2002,C,Crack,3,,-1
13,Georgia,3011,05/13/2009,J,Joint,1,1.799999952,1.200000048
40,Oklahoma,0601,03/23/2010,J,Joint,6,,
5,Arkansas,0221,12/14/2010,C,Crack,3,0,0
32,Nevada,0204,04/25/2001,J,Joint,5,0.200000003,0.300000012
6,California,0210,10/27/2008,J,Joint,3,0.200000003,0.100000001
6,California,B430,03/18/1999,C,Crack,1,0.100000001,-0.200000003
6,California,0812,12/15/2004,J,Joint,1,-0.200000003,-0.200000003
49,Utah,7083,07/16/1991,C,Crack,1,0,
8,Colorado,0214,09/17/2013,C,Crack,1,2,3
53,Washington,3013,06/05/2013,J,Joint,2,0.5,0.5
8,Colorado,0812,09/19/2013,J,Joint,1,-0.400000006,-0.100000001
28,Mississippi,9030,11/09/2012,J,Joint,1,0.600000024,1.200000048
6,California,3019,02/07/2013,C,Crack,2,0,0
5,Arkansas,0214,08/12/2013,C,Crack,2,,
8,Colorado,0219,09/17/2013,J,Joint,1,0.699999988,0.899999976
8,Colorado,0222,09/18/2013,J,Joint,5,-0.200000003,-0.400000006
48,Texas,4143,06/26/2013,J,Joint,1,1.100000024,1
12,Florida,4059,03/26/2014,J,Joint,1,0.699999988,0.800000012
5,Arkansas,0224,08/15/2013,J,Joint,5,0.899999976,0.899999976
48,Texas,A807,11/20/2014,J,Joint,1,0.100000001,0.100000001
8,Colorado,0220,09/12/2014,J,Joint,2,-0.400000006,
48,Texas,A808,09/21/2015,J,Joint,2,0.5,0.600000024
8,Colorado,0218,10/09/2015,C,Crack,3,3.299999952,3
8,Colorado,0219,10/09/2015,J,Joint,1,0.200000003,0.300000012
19,Iowa,0217,11/18/2014,J,Joint,5,0.300000012,-0.100000001
10,Delaware,0204,05/26/2015,J,Joint,4,,
10,Delaware,0206,05/27/2015,J,Joint,1,0.100000001,0
10,Delaware,0207,05/27/2015,J,Joint,5,,
10,Delaware,0201,05/28/2015,J,Joint,3,0.100000001,0
19,Iowa,3009,05/21/2014,J,Joint,4,0.100000001,0
53,Washington,0208,05/20/2014,J,Joint,1,0,0
6,California,0207,10/13/2014,J,Joint,2,0.899999976,1
6,California,0206,10/13/2014,J,Joint,2,-0.200000003,0
20,Kansas,0204,12/01/2015,J,Joint,5,0.200000003,0.400000006
55,Wisconsin,0215,11/06/2015,J,Joint,1,0.100000001,-0.100000001
20,Kansas,0203,12/01/2015,J,Joint,2,-0.200000003,0
8,Colorado,0812,10/15/2015,J,Joint,1,-0.200000003,0
4,Arizona,0215,12/11/2014,J,Joint,1,0.600000024,0.600000024
39,Ohio,0208,06/05/2014,J,Joint,4,-0.200000003,-0.100000001
6,California,0205,11/19/2015,J,Joint,3,0.5,0.5
6,California,0204,11/18/2015,J,Joint,3,0.300000012,0.200000003
6,California,0201,11/19/2015,C,Crack,4,3.099999905,2.799999952
6,California,3042,02/20/2015,C,Crack,4,0,-0.100000001
8,Colorado,0217,09/11/2014,J,Joint,4,0.5,
8,Colorado,0217,09/11/2014,C,Crack,4,-0.100000001,
39,Ohio,0809,06/18/2014,C,Crack,1,0,0
20,Kansas,0208,12/02/2015,J,Joint,2,-0.100000001,0.100000001
48,Texas,9355,08/13/2014,J,Joint,1,0.200000003,0.100000001
6,California,3021,01/13/2015,J,Joint,4,0.300000012,0.300000012
12,Florida,4000,02/11/2015,J,Joint,3,0.200000003,0.400000006
38,North Dakota,0262,09/24/2015,J,Joint,7,2.799999952,3.200000048
13,Georgia,3011,09/25/2014,J,Joint,1,1.299999952,1.200000048
8,Colorado,0811,09/16/2014,J,Joint,1,-0.200000003,-0.100000001
8,Colorado,0811,09/16/2014,C,Crack,1,0,
4,Arizona,0218,12/10/2015,C,Crack,3,0.200000003,0
20,Kansas,0201,04/06/1993,J,Joint,1,,
8,Colorado,0811,05/25/2017,C,Crack,1,1.299999952,1.299999952
53,Washington,0208,04/11/2017,J,Joint,1,0.5,0.600000024
28,Mississippi,3018,09/29/2016,J,Joint,2,5.300000191,4.699999809
26,Michigan,9029,11/09/2016,C,Crack,4,0,0
53,Washington,0206,06/19/2018,J,Joint,1,0.699999988,0.600000024
53,Washington,0208,06/19/2018,J,Joint,1,0.600000024,0.600000024
55,Wisconsin,3019,11/10/2016,J,Joint,6,,
46,South Dakota,3012,05/17/2017,J,Joint,5,0,0
6,California,3024,03/03/2017,C,Crack,2,0,0
6,California,3019,03/01/2017,C,Crack,2,-0.100000001,0
49,Utah,3011,09/25/2018,J,Joint,3,0.600000024,0.5
20,Kansas,0206,10/27/2004,J,Joint,1,,0.5
55,Wisconsin,0219,11/06/2015,J,Joint,1,0.100000001,0
55,Wisconsin,0264,11/09/2015,J,Joint,1,0.699999988,0.699999988
48,Texas,9355,04/24/2017,J,Joint,1,0.699999988,0.699999988
53,Washington,0211,06/18/2018,J,Joint,1,0.100000001,0.600000024
53,Washington,0202,06/18/2018,C,Crack,1,1.5,2
8,Colorado,3032,10/26/2018,J,Joint,4,2.900000095,1.700000048
4,Arizona,0216,12/13/2016,J,Joint,1,0.600000024,0.600000024
4,Arizona,0215,12/14/2016,J,Joint,1,0.699999988,0.600000024
4,Arizona,0262,12/15/2016,C,Crack,3,0,0
13,Georgia,3011,05/04/2016,J,Joint,1,1.399999976,1.399999976
4,Arizona,0264,12/15/2016,J,Joint,2,0.200000003,0.100000001
4,Arizona,0217,12/14/2016,J,Joint,3,-0.100000001,0
53,Washington,0204,03/23/2016,J,Joint,1,0.300000012,0.899999976
38,North Dakota,0213,06/05/2018,J,Joint,7,0.5,1.200000048
38,North Dakota,0219,06/05/2018,J,Joint,7,1.299999952,1.600000024
38,North Dakota,0263,06/06/2018,J,Joint,5,2.5,2.299999952
38,North Dakota,0259,06/06/2018,J,Joint,4,0.5,0.800000012
6,California,3024,01/13/2016,C,Crack,2,0,0
19,Iowa,0220,08/23/2016,J,Joint,3,0.200000003,0.300000012
38,North Dakota,0221,06/06/2018,J,Joint,7,0.100000001,0.600000024
38,North Dakota,0220,06/05/2018,J,Joint,7,0,0.100000001
55,Wisconsin,6352,04/27/2016,J,Joint,4,0.100000001,0.100000001
39,Ohio,0207,05/26/2016,C,Crack,3,3,3
20,Kansas,0207,12/02/2015,J,Joint,4,0.100000001,0.300000012
31,Nebraska,3028,10/28/2015,J,Joint,4,0.300000012,0.200000003
55,Wisconsin,6354,04/27/2016,J,Joint,4,0,0
53,Washington,0208,04/11/2017,C,Crack,1,1,0
48,Texas,A807,03/22/2016,J,Joint,1,0.300000012,0.200000003
39,Ohio,0204,12/13/1996,J,Joint,1,0,0
39,Ohio,0205,12/14/1996,J,Joint,1,0,0
55,Wisconsin,0221,04/21/1998,J,Joint,1,-0.100000001,0.100000001
20,Kansas,0205,07/12/2005,J,Joint,2,0.200000003,0.200000003
39,Ohio,0201,04/05/2001,J,Joint,1,0,0
39,Ohio,0202,04/04/2001,C,Crack,1,-1,-1
38,North Dakota,0217,07/30/1997,C,Crack,2,0,0.5
55,Wisconsin,0214,04/28/1998,J,Joint,1,-0.5,0
18,Indiana,4042,02/03/1999,J,Joint,2,0.300000012,0.100000001
17,Illinois,4074,08/06/1998,J,Joint,1,-0.100000001,0.100000001
18,Indiana,A430,02/05/1999,J,Joint,2,0.100000001,0
17,Illinois,4082,03/08/2001,C,Crack,1,3.599999905,3.299999952
29,Missouri,5091,03/05/1998,J,Joint,1,2.299999952,2.400000095
17,Illinois,0660,09/15/1998,J,Joint,4,3.299999952,3.5
17,Illinois,0601,09/15/1998,C,Crack,4,1.600000024,1.299999952
29,Missouri,5081,03/05/1998,J,Joint,1,1.899999976,2
55,Wisconsin,6352,08/25/1999,J,Joint,1,0.200000003,0.100000001
19,Iowa,0217,04/12/1999,C,Crack,1,1.5,2
55,Wisconsin,3009,08/17/1999,J,Joint,2,2.700000048,2.799999952
27,Minnesota,3013,07/28/1999,J,Joint,1,0.100000001,0.100000001
19,Iowa,B430,03/17/1999,J,Joint,1,0.100000001,0.200000003
18,Indiana,9020,03/24/1999,C,Crack,1,0,0
39,Ohio,9006,03/16/1999,J,Joint,1,0,0
29,Missouri,A601,06/18/1998,J,Joint,1,-0.800000012,-1
29,Missouri,0709,01/12/1999,C,Crack,2,0,0
39,Ohio,0809,09/12/1999,J,Joint,1,0,0
39,Ohio,0810,09/12/1999,J,Joint,1,0,0
46,South Dakota,A410,06/28/1999,J,Joint,2,5.800000191,5.5
29,Missouri,0601,09/09/1998,C,Crack,7,0,0
26,Michigan,0222,09/22/2005,C,Crack,2,2.5,3
39,Ohio,0212,09/08/1999,J,Joint,1,0,0
39,Ohio,0260,09/08/1999,J,Joint,1,-0.100000001,-0.100000001
18,Indiana,4021,03/25/1999,J,Joint,3,1.700000048,2.5
18,Indiana,4021,03/25/1999,C,Crack,3,4.300000191,4.400000095
38,North Dakota,0223,06/16/1999,J,Joint,2,0.5,0.100000001
26,Michigan,0216,11/06/1998,J,Joint,1,0.400000006,0.699999988
19,Iowa,0223,10/01/1999,J,Joint,1,0.100000001,0
39,Ohio,0208,09/09/1999,J,Joint,1,0.300000012,0
31,Nebraska,A430,04/06/2000,J,Joint,1,0.300000012,0.400000006
19,Iowa,0213,05/06/1999,J,Joint,1,0.400000006,0
19,Iowa,0214,05/06/1999,J,Joint,1,0.300000012,0.5
