STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CONSTRUCTION_NO,CORNER_BREAKS_NO_L,CORNER_BREAKS_NO_M,CORNER_BREAKS_NO_H,DURAB_CRACK_NO_L,DURAB_CRACK_NO_M,DURAB_CRACK_NO_H,DURAB_CRACK_A_L,DURAB_CRACK_A_M,DURAB_CRACK_A_H,LONG_CRACK_L_L,LONG_CRACK_L_M,LONG_CRACK_L_H,LONG_CRACK_SEAL_L_L,LONG_CRACK_SEAL_L_M,LONG_CRACK_SEAL_L_H,TRANS_CRACK_NO_L,TRANS_CRACK_NO_M,TRANS_CRACK_NO_H,TRANS_CRACK_L_L,TRANS_CRACK_L_M,TRANS_CRACK_L_H,TRANS_CRACK_SEAL_L_L,TRANS_CRACK_SEAL_L_M,TRANS_CRACK_SEAL_L_H,JT_SEALED,JT_SEALED_EXP,JOINT_SEAL_TRANS_NO_L,JOINT_SEAL_TRANS_NO_M,JOINT_SEAL_TRANS_NO_H,LONG_JT_SEAL_NO,LONG_JT_SEAL_DAM_L,LONG_SPALLING_L_L,LONG_SPALLING_L_M,LONG_SPALLING_L_H,TRANS_SPALLING_NO_L,TRANS_SPALLING_NO_M,TRANS_SPALLING_NO_H,TRANS_SPALLING_L_L,TRANS_SPALLING_L_M,TRANS_SPALLING_L_H,SCALING_NO,SCALING_A,POLISH_AGG_A,BLOWUPS_NO,PATCH_FLEX_NO_L,PATCH_FLEX_NO_M,PATCH_FLEX_NO_H,PATCH_FLEX_A_L,PATCH_FLEX_A_M,PATCH_FLEX_A_H,PATCH_RIGID_NO_L,PATCH_RIGID_NO_M,PATCH_RIGID_NO_H,PATCH_RIGID_A_L,PATCH_RIGID_A_M,PATCH_RIGID_A_H,PUMPING_NO,PUMPING_L,OTHER,MAP_CRACK_NO,MAP_CRACK_A,SURVEY_WIDTH,CRACKED_SLABS_TRANS,CRACKED_SLABS_HALF,CRACKED_SLABS_TOTAL,SLAB_COUNT
8,Colorado,A446,06/16/2003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Yes,25,0,0,2,2.599999905,9.800000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3.700000048,0,0,0,26
8,Colorado,A451,06/17/2003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Yes,16,6,3,2,0,2.299999952,0.300000012,0,3,0,0,1.299999952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3.700000048,0,0,0,24
8,Colorado,A452,06/17/2003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Yes,6,8,12,2,12.30000019,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3.700000048,0,0,0,26
8,Colorado,A455,06/16/2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Yes,25,0,0,2,4.199999809,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3.700000048,0,0,0,25
56,Wyoming,3027,07/23/2003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5.099999905,0,0,0,0,0,Y,Yes,24,5,3,2,20.79999924,1.899999976,0.200000003,0.800000012,0,0,1,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SPALLING SOME PLACES TOO SML TO MEASURE, COULDNT FIND MAP CRACKING IN OTHER AREA",3,2.099999905,3.799999952,4,0,4,32
49,Utah,C458,08/02/2004,2,0,0,0,0,0,0,0,0,0,9.199999809,17.20000076,0,0,0,0,0,1,1,0,3.5,3.599999905,0,0,0,Y,Yes,0,0,32,2,0,0.400000006,0,0,0,1,1,0,0.400000006,0.400000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3.799999952,2,2,7,31
32,Nevada,A456,05/10/2000,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.200000048,0,0,0,Y,Yes,0,10,3,2,60,0,0,0,0,0,1,0,0,0.300000012,3,2.900000095,0,0,3,0,0,2.900000095,0,0,0,0,0,0,0,0,0,0,,1,1.600000024,3.700000048,1,1,1,12
32,Nevada,A457,05/10/2000,3,1,0,2,0,0,0,0,0,0,0,0,26.89999962,0,0,0,0,0,6,0,0,15.60000038,0,0,0,Y,Yes,4,8,1,2,60,0,1.5,0.5,0,0,1,0,0,0.200000003,0,0,0,0,2,1,1,1,1,1.700000048,0,0,0,0,0,0,0,0,,0,0,3.700000048,5,4,5,13
32,Nevada,A458,05/10/2000,3,0,0,0,0,0,0,0,0,0,3,3.900000095,0,0,0,0,0,0,5,0,0,14.60000038,0,0,0,Y,Yes,10,3,0,2,61,0,0,0,0,0,2,0,0,0.5,3,11.5,8.5,0,3,1,1,2.599999905,0.5,1.200000048,0,0,0,0,0,0,0,0,,2,17.39999962,3.700000048,4,4,6,13
32,Nevada,A459,05/10/2000,3,0,0,0,0,0,0,0,0,0,2,0,4.800000191,0,0,0,1,0,6,3.700000048,0,19.5,0,0,0,Y,Yes,6,6,1,2,61,0,0,0,0,1,2,0,1,0.400000006,2,7,15.60000038,0,1,1,0,0.5,0.699999988,0,0,0,0,0,0,0,0,0,,1,1.700000048,3.700000048,6,6,7,12
53,Washington,0201,05/09/2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Yes,33,0,0,2,152.3999939,0,0,0,0,0,0,0,0,0,0,0,304.7999878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3.700000048,0,0,0,34
53,Washington,0202,05/08/2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Yes,33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,4.199999809,0,0,0,34
53,Washington,0203,05/08/2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Yes,33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,4.199999809,0,0,0,34
53,Washington,0204,05/09/2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Yes,33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3.700000048,0,0,0,34
53,Washington,0205,05/09/2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,Y,Yes,33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,15.19999981,3.700000048,0,0,0,34
53,Washington,0206,05/10/2000,1,0,0,0,0,0,0,0,0,0,1.600000024,0,0,0,0,0,1,2,0,2,8.399999619,0,0,0,0,Y,Yes,33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,565.5999756,4.199999809,3,3,5,34
53,Washington,0207,05/10/2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2.400000095,0,0,0,0,0,Y,Yes,33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CRACKS SHOWN ON PREVIOUS SURVEYS DISAPPEARED AS POLISHED AGG INCREASED.,5,67.5,4.199999809,2,0,2,34
