STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CONSTRUCTION_NO,DURAB_CRACK_NO_L,DURAB_CRACK_NO_M,DURAB_CRACK_NO_H,DURAB_CRACK_A_L,DURAB_CRACK_A_M,DURAB_CRACK_A_H,LONG_CRACK_L_L,LONG_CRACK_L_M,LONG_CRACK_L_H,LONG_CRACK_SEAL_L_L,LONG_CRACK_SEAL_L_M,LONG_CRACK_SEAL_L_H,TRANS_CRACK_TOTAL_NO,TRANS_CRACK_NO_L,TRANS_CRACK_NO_M,TRANS_CRACK_NO_H,TRANS_CRACK_L_L,TRANS_CRACK_L_M,TRANS_CRACK_L_H,MAP_CRACK_NO,MAP_CRACK_A,SCALING_NO,SCALING_A,POLISH_AGG_A,BLOWUPS_NO,CONST_JOINT_NO_L,CONST_JOINT_NO_M,CONST_JOINT_NO_H,PATCH_FLEX_NO_L,PATCH_FLEX_NO_M,PATCH_FLEX_NO_H,PATCH_FLEX_A_L,PATCH_FLEX_A_M,PATCH_FLEX_A_H,PATCH_RIGID_NO_L,PATCH_RIGID_NO_M,PATCH_RIGID_NO_H,PATCH_RIGID_A_L,PATCH_RIGID_A_M,PATCH_RIGID_A_H,PUNCHOUTS_NO_L,PUNCHOUTS_NO_M,PUNCHOUTS_NO_H,LONG_SPALLING_L_L,LONG_SPALLING_L_M,LONG_SPALLING_L_H,PUMPING_NO,PUMPING_L,LONG_JT_SEAL_NO,LONG_JT_SEAL_DAM_L,OTHER,SURVEY_WIDTH
22,Louisiana,0706,12/09/1992,2,0,0,0,0,0,0,0,0,0,0,0,0,84,74,8,2,264.2999878,29.20000076,7.300000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.700000048
22,Louisiana,0707,12/09/1992,2,0,0,0,0,0,0,0,0,0,0,0,0,73,56,12,5,203.8000031,45,19.39999962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.5,,3.700000048
51,Virginia,5008,07/11/2011,1,0,0,0,0,0,0,9.600000381,0,0,0,0,0,309,309,0,0,1112.699951,0,0,1,564.2999878,0,0,0,0,0,0,0,0,2,0,0,0.200000003,0,0,0,0,0,0,0,20,3,1,0,0,0.800000012,0,0,2,198.5,SECTION IN MID LANE OF 6-LANE DIVIDE HWY - DISTRESS IS INCLUDED,3.700000048
17,Illinois,5020,06/14/2012,1,0,0,0,0,0,0,15.60000038,0,0,0,0,0,186,186,0,0,680,0,0,1,564.2999878,1,0.100000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,152.5,SMALL INCREASE IN TRANSVERSE CRACKING AND PUNCHOUTS,3.700000048
51,Virginia,5009,07/21/2011,5,0,0,0,0,0,0,4,10,15.30000019,0,0,0,68,55,12,1,186,38.79999924,2.5,1,361,0,0,0,0,0,0,0,4,15,2,1.100000024,190,12.19999981,0,0,0,0,0,0,2,0,0,92.40000153,0,0,0,0,0,0,ADDITIONAL AC PATCHING SINCE 2009 VISIT.DID NOT RATE CL JOINT LONGITUDINAL CRACK,3.700000048
45,South Carolina,5017,05/17/2012,1,0,0,0,0,0,0,0,0,0,0,0,0,100,55,45,0,203.8999939,168.1000061,0,1,183,0,0,152.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,160.1000061,,3.700000048
28,Mississippi,5025,01/27/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,178,149,28,1,540.2000122,104.5999985,3.599999905,0,0,3,125.1999969,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.59999847,1.5,0,1,1,1,152.5,,3.700000048
17,Illinois,5151,07/07/1989,1,0,0,0,0,0,0,19.79999924,0,0,0,0,0,128,127,1,0,469.8999939,3.700000048,0,0,0,0,0,0,0,0,0,0,21,0,0,17.79999924,0,0,10,0,0,58.59999847,0,0,6,0,0,0,0,0,1,1,0,0,2011 REVIEW: RE-SUMMARIZED,3.700000048
1,Alabama,5008,01/29/2013,1,0,0,0,0,0,0,0,24,0,0,0,0,162,35,102,25,124.5,375.1000061,93.5,1,556.5999756,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.8000031,4,0,0,0,0,0,,3.700000048
48,Texas,5026,08/10/2015,1,0,0,0,0,0,0,0.899999976,0,0,0,0,0,152,45,70,37,154.5,252.8999939,133.1999969,1,274.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.100000024,0,0,0,2,305,,3.599999905
